now,event,power,voltage,current,resistance,temperature,steady-state-count,filtered-delta
1205.001,timerEvent,49.85,10.86,4.59,2.366,185.5,0,0.052051
1207.502,timerEvent,49.89,10.87,4.59,2.368,185.9,0,0.009898
1210.002,timerEvent,49.85,10.86,4.59,2.366,185.5,0,0.045856
1212.502,timerEvent,49.85,10.86,4.59,2.366,185.5,0,0.004323
1215.002,timerEvent,49.85,10.86,4.59,2.366,185.5,0,0.003890
1217.502,timerEvent,49.85,10.86,4.59,2.366,185.5,0,0.003501
1220.001,timerEvent,49.89,10.87,4.59,2.368,185.9,0,0.003151
1222.502,timerEvent,49.89,10.87,4.59,2.368,185.9,0,0.039784
1225.001,timerEvent,49.89,10.87,4.59,2.368,185.9,0,0.035806
1227.502,timerEvent,49.85,10.86,4.59,2.366,185.5,0,0.032225
1230.002,timerEvent,49.89,10.87,4.59,2.368,185.9,0,-0.007945
1232.502,timerEvent,49.89,10.87,4.59,2.368,185.9,0,0.029797
1235.002,timerEvent,49.85,10.86,4.59,2.366,185.5,0,0.026817
1237.502,timerEvent,49.85,10.86,4.59,2.366,185.5,0,-0.012812
1240.002,timerEvent,49.85,10.86,4.59,2.366,185.5,0,-0.011531
1242.502,timerEvent,49.85,10.86,4.59,2.366,185.5,0,-0.010378
1245.002,timerEvent,49.89,10.87,4.59,2.368,185.9,0,-0.009340
1247.502,timerEvent,49.85,10.86,4.59,2.366,185.5,0,0.028542
1250.002,timerEvent,49.85,10.86,4.59,2.366,185.5,0,-0.011260
1252.502,timerEvent,49.89,10.87,4.59,2.368,185.9,0,-0.010134
1255.002,timerEvent,49.89,10.87,4.59,2.368,185.9,0,0.027827
1257.502,timerEvent,49.85,10.86,4.59,2.366,185.5,0,0.025044
1260.002,timerEvent,49.85,10.86,4.59,2.366,185.5,0,-0.014408
1262.502,timerEvent,49.85,10.86,4.59,2.366,185.5,0,-0.012967
1265.002,timerEvent,49.89,10.87,4.59,2.368,185.9,0,-0.011670
1267.502,timerEvent,49.85,10.86,4.59,2.366,185.5,0,0.026444
1270.002,timerEvent,49.85,10.86,4.59,2.366,185.5,0,-0.013148
1272.502,timerEvent,49.85,10.86,4.59,2.366,185.5,0,-0.011833
1275.002,timerEvent,49.85,10.86,4.59,2.366,185.5,0,-0.010650
1277.502,timerEvent,49.85,10.86,4.59,2.366,185.5,0,-0.009585
1280.001,timerEvent,49.74,10.86,4.58,2.371,186.4,0,-0.008626
1282.502,timerEvent,49.78,10.87,4.58,2.373,186.8,0,0.079846
1285.002,timerEvent,49.94,10.88,4.59,2.370,186.3,0,0.108890
1287.501,timerEvent,49.78,10.87,4.58,2.373,186.8,0,0.047258
1290.002,timerEvent,49.94,10.88,4.59,2.370,186.3,0,0.093275
1292.502,timerEvent,49.74,10.86,4.58,2.371,186.4,0,0.033205
1295.002,timerEvent,49.78,10.87,4.58,2.373,186.8,0,0.043599
1297.502,timerEvent,49.89,10.87,4.59,2.368,185.9,0,0.076267
1300.002,timerEvent,49.74,10.86,4.58,2.371,186.4,0,-0.019050
1302.501,timerEvent,49.78,10.87,4.58,2.373,186.8,0,0.033517
1305.001,timerEvent,49.94,10.88,4.59,2.370,186.3,0,0.067194
1307.502,timerEvent,49.78,10.87,4.58,2.373,186.8,0,0.009732
1310.002,timerEvent,49.94,10.88,4.59,2.370,186.3,0,0.059501
1312.502,timerEvent,49.74,10.86,4.58,2.371,186.4,0,0.002808
1315.002,timerEvent,49.74,10.86,4.58,2.371,186.4,0,0.016242
1317.502,timerEvent,49.74,10.86,4.58,2.371,186.4,0,0.014618
1320.002,timerEvent,49.78,10.87,4.58,2.373,186.8,0,0.013156
1322.502,timerEvent,49.94,10.88,4.59,2.370,186.3,0,0.048869
1325.002,timerEvent,49.78,10.87,4.58,2.373,186.8,0,-0.006761
1327.502,timerEvent,49.94,10.88,4.59,2.370,186.3,0,0.044658
1330.002,timerEvent,49.78,10.87,4.58,2.373,186.8,0,-0.010551
1332.502,timerEvent,49.94,10.88,4.59,2.370,186.3,0,0.041247
1335.002,timerEvent,49.74,10.86,4.58,2.371,186.4,0,-0.013620
1337.502,timerEvent,49.74,10.86,4.58,2.371,186.4,0,0.001456
1340.002,timerEvent,49.78,10.87,4.58,2.373,186.8,0,0.001310
1342.502,timerEvent,49.94,10.88,4.59,2.370,186.3,0,0.038208
1345.001,timerEvent,49.78,10.87,4.58,2.373,186.8,0,-0.016356
1347.502,timerEvent,49.89,10.87,4.59,2.368,185.9,0,0.036023
1350.002,timerEvent,49.78,10.87,4.58,2.373,186.8,0,-0.055270
1352.502,timerEvent,49.94,10.88,4.59,2.370,186.3,0,0.037947
1355.002,timerEvent,49.74,10.86,4.58,2.371,186.4,0,-0.016590
1357.502,timerEvent,49.78,10.87,4.58,2.373,186.8,0,-0.001217
1360.002,timerEvent,49.83,10.88,4.58,2.376,187.2,0,0.035933
1362.502,timerEvent,49.94,10.88,4.59,2.370,186.3,0,0.069369
1365.002,timerEvent,49.74,10.86,4.58,2.371,186.4,0,-0.025340
1367.502,timerEvent,49.74,10.86,4.58,2.371,186.4,0,-0.009091
1370.002,timerEvent,49.74,10.86,4.58,2.371,186.4,0,-0.008182
1372.502,timerEvent,49.74,10.86,4.58,2.371,186.4,0,-0.007364
1375.002,timerEvent,49.74,10.86,4.58,2.371,186.4,0,-0.006628
1377.502,timerEvent,49.74,10.86,4.58,2.371,186.4,0,-0.005965
1380.002,timerEvent,49.74,10.86,4.58,2.371,186.4,0,-0.005368
1382.502,timerEvent,49.74,10.86,4.58,2.371,186.4,0,-0.004832
1385.002,timerEvent,49.74,10.86,4.58,2.371,186.4,0,-0.004348
1387.502,timerEvent,49.78,10.87,4.58,2.373,186.8,0,-0.003914
1390.002,timerEvent,49.83,10.88,4.58,2.376,187.2,0,0.033506
1392.503,timerEvent,49.83,10.88,4.58,2.376,187.2,0,0.067184
1395.002,timerEvent,49.83,10.88,4.58,2.376,187.2,0,0.060466
1397.502,timerEvent,49.83,10.88,4.58,2.376,187.2,0,0.054419
