now,event,power,voltage,current,resistance,temperature,steady-state-count
835.001,timerEvent,49.88,10.82,4.61,2.347,182.3,0
837.502,timerEvent,49.82,10.83,4.60,2.354,183.6,0
840.002,timerEvent,49.93,10.83,4.61,2.349,182.7,0
842.502,timerEvent,49.88,10.82,4.61,2.347,182.3,0
845.002,timerEvent,49.77,10.82,4.60,2.352,183.2,0
847.502,timerEvent,49.82,10.83,4.60,2.354,183.6,0
850.002,timerEvent,49.82,10.83,4.60,2.354,183.6,0
852.502,timerEvent,49.82,10.83,4.60,2.354,183.6,0
855.002,timerEvent,49.66,10.82,4.59,2.357,184.1,0
857.502,timerEvent,49.76,10.84,4.59,2.362,184.8,0
860.002,timerEvent,50.02,10.85,4.61,2.354,183.4,0
862.502,timerEvent,49.82,10.83,4.60,2.354,183.6,0
865.002,timerEvent,49.82,10.83,4.60,2.354,183.6,0
867.502,timerEvent,49.82,10.83,4.60,2.354,183.6,0
870.002,timerEvent,49.77,10.82,4.60,2.352,183.2,0
872.502,timerEvent,49.71,10.83,4.59,2.359,184.4,0
875.002,timerEvent,50.02,10.85,4.61,2.354,183.4,0
877.502,timerEvent,49.77,10.82,4.60,2.352,183.2,0
880.002,timerEvent,49.71,10.83,4.59,2.359,184.4,0
882.502,timerEvent,50.02,10.85,4.61,2.354,183.4,0
885.002,timerEvent,49.71,10.83,4.59,2.359,184.4,0
887.502,timerEvent,49.91,10.85,4.60,2.359,184.3,0
890.002,timerEvent,49.76,10.84,4.59,2.362,184.8,0
892.502,timerEvent,49.91,10.85,4.60,2.359,184.3,0
895.002,timerEvent,49.86,10.84,4.60,2.357,183.9,0
897.502,timerEvent,49.65,10.84,4.58,2.367,185.7,0
900.002,timerEvent,49.96,10.86,4.60,2.361,184.7,0
902.502,timerEvent,49.91,10.85,4.60,2.359,184.3,0
905.002,timerEvent,49.76,10.84,4.59,2.362,184.8,0
907.501,timerEvent,49.91,10.85,4.60,2.359,184.3,0
910.002,timerEvent,49.76,10.84,4.59,2.362,184.8,0
912.502,timerEvent,49.80,10.85,4.59,2.364,185.2,0
915.002,timerEvent,49.96,10.86,4.60,2.361,184.7,0
917.502,timerEvent,49.91,10.85,4.60,2.359,184.3,0
920.002,timerEvent,49.76,10.84,4.59,2.362,184.8,0
922.501,timerEvent,49.80,10.85,4.59,2.364,185.2,0
925.002,timerEvent,49.96,10.86,4.60,2.361,184.7,0
927.502,timerEvent,49.91,10.85,4.60,2.359,184.3,0
930.002,timerEvent,49.65,10.84,4.58,2.367,185.7,0
932.502,timerEvent,49.96,10.86,4.60,2.361,184.7,0
935.002,timerEvent,49.91,10.85,4.60,2.359,184.3,0
937.502,timerEvent,49.76,10.84,4.59,2.362,184.8,0
940.002,timerEvent,49.91,10.85,4.60,2.359,184.3,0
942.502,timerEvent,49.76,10.84,4.59,2.362,184.8,0
945.002,timerEvent,49.91,10.85,4.60,2.359,184.3,0
947.502,timerEvent,49.76,10.84,4.59,2.362,184.8,0
950.002,timerEvent,49.91,10.85,4.60,2.359,184.3,0
952.501,timerEvent,49.76,10.84,4.59,2.362,184.8,0
955.002,timerEvent,49.91,10.85,4.60,2.359,184.3,0
957.502,timerEvent,49.86,10.84,4.60,2.357,183.9,0
960.002,timerEvent,49.86,10.84,4.60,2.357,183.9,0
962.502,timerEvent,49.86,10.84,4.60,2.357,183.9,0
965.002,timerEvent,49.86,10.84,4.60,2.357,183.9,0
967.502,timerEvent,49.86,10.84,4.60,2.357,183.9,0
970.002,timerEvent,49.86,10.84,4.60,2.357,183.9,0
972.502,timerEvent,49.86,10.84,4.60,2.357,183.9,0
975.002,timerEvent,49.76,10.84,4.59,2.362,184.8,0
977.502,timerEvent,49.91,10.85,4.60,2.359,184.3,0
980.002,timerEvent,49.76,10.84,4.59,2.362,184.8,0
982.502,timerEvent,49.80,10.85,4.59,2.364,185.2,0
985.002,timerEvent,49.85,10.86,4.59,2.366,185.5,0
987.502,timerEvent,49.85,10.86,4.59,2.366,185.5,0
990.002,timerEvent,49.96,10.86,4.60,2.361,184.7,0
992.502,timerEvent,49.80,10.85,4.59,2.364,185.2,0
995.002,timerEvent,49.96,10.86,4.60,2.361,184.7,0
997.501,timerEvent,49.80,10.85,4.59,2.364,185.2,0
1000.002,timerEvent,49.96,10.86,4.60,2.361,184.7,0
1002.501,timerEvent,49.91,10.85,4.60,2.359,184.3,0
1005.002,timerEvent,49.65,10.84,4.58,2.367,185.7,0
1007.502,timerEvent,49.85,10.86,4.59,2.366,185.5,0
1010.001,timerEvent,49.96,10.86,4.60,2.361,184.7,0
1012.502,timerEvent,49.91,10.85,4.60,2.359,184.3,0
1015.002,timerEvent,49.86,10.84,4.60,2.357,183.9,0
1017.502,timerEvent,49.76,10.84,4.59,2.362,184.8,0
1020.001,timerEvent,49.80,10.85,4.59,2.364,185.2,0
1022.501,timerEvent,49.96,10.86,4.60,2.361,184.7,0
1025.001,timerEvent,49.80,10.85,4.59,2.364,185.2,0
1027.501,timerEvent,49.85,10.86,4.59,2.366,185.5,0
1030.002,timerEvent,49.85,10.86,4.59,2.366,185.5,0
1032.502,timerEvent,49.85,10.86,4.59,2.366,185.5,0
1035.002,timerEvent,49.74,10.86,4.58,2.371,186.4,0
1037.501,timerEvent,49.96,10.86,4.60,2.361,184.7,0
1040.002,timerEvent,49.80,10.85,4.59,2.364,185.2,0
1042.502,timerEvent,49.96,10.86,4.60,2.361,184.7,0
1045.002,timerEvent,49.80,10.85,4.59,2.364,185.2,0
1047.502,timerEvent,49.85,10.86,4.59,2.366,185.5,0
1050.002,timerEvent,49.96,10.86,4.60,2.361,184.7,0
1052.502,timerEvent,49.80,10.85,4.59,2.364,185.2,0
1055.002,timerEvent,49.96,10.86,4.60,2.361,184.7,0
1057.502,timerEvent,49.80,10.85,4.59,2.364,185.2,0
1060.001,timerEvent,49.96,10.86,4.60,2.361,184.7,0
1062.502,timerEvent,49.80,10.85,4.59,2.364,185.2,0
1065.002,timerEvent,49.85,10.86,4.59,2.366,185.5,0
1067.502,timerEvent,49.96,10.86,4.60,2.361,184.7,0
1070.002,timerEvent,49.80,10.85,4.59,2.364,185.2,0
1072.502,timerEvent,49.85,10.86,4.59,2.366,185.5,0
