now,temperature,device-temperature,back-prediction,forward-prediction,last-update-delay,now-temperature,period,power,predict-temperature,resistance,set-power,then-temperature,tuned-prediction
228.001,169,146.3,152.33393865592,148.96246531637,0.544,152.5,1.5,150.119,150.648201986145,2.96291,155,152.97,148.857171269861
229.501,173.7,146.7,135.798467429486,138.040987465493,0.544,153,1.5,153.225,136.919727447489,2.9972,1,153.44,136.078431015
231.001,164,147.1,140.389279967433,141.649985922043,0.544,153.4,1.5,1.381,141.019632944738,2.92576,1,153.91,140.000097081423
232.501,160.3,147.8,155.980913501538,152.107639674169,0.544,153.9,1.5,1.38,154.044276587854,2.89855,1,154.38,152.154362134755
234.001,159.1,147.8,157.435573303133,152.789891606607,0.544,154.4,1.5,1.384,155.11273245487,2.89017,155,154.84,153.098057934876
235.501,171.5,148.1,155.063602150668,151.517716258806,0.544,154.8,1.5,150.215,153.290659204737,2.9807,155,155.31,151.455603119967
237.001,175.7,148.4,137.266760127176,139.606034404609,0.544,155.3,1.5,153.174,138.436397265892,3.0122,155,155.78,137.599225249901
238.5,179.3,149,139.830161816947,142.333007130581,0.544,155.8,1.5,153.712,141.081584473764,3.0381,1,156.25,140.250982234751
240.001,168.7,149.9,144.050181141808,145.459647376096,0.544,156.3,1.5,1.365,144.754914258952,2.96024,1,156.72,143.732455263131
241.501,165.5,150.6,161.716840439067,157.506803783903,0.544,156.7,1.5,1.362,159.611822111485,2.93686,1,157.19,157.634684478176
243.001,164.3,150.9,162.640649499485,157.820566767954,0.544,157.2,1.5,1.366,160.230608133719,2.92826,1,157.66,158.156493556669
244.501,163.1,151.2,161.439521455851,156.659742343143,0.544,157.7,1.5,1.37,159.049631899497,2.91971,1,158.13,156.989166321159
246.001,162,151.4,160.444604470835,155.669249944208,0.544,158.1,1.5,1.374,158.056927207522,2.91121,155,158.59,156.003477853251
247.501,174.2,151.6,157.608939347373,154.035747627888,0.544,158.6,1.5,150.202,155.822343487631,3.00071,155,159.06,153.966634515746
249.001,178.5,151.8,140.153092048851,142.372116240281,0.544,159.1,1.5,153.292,141.262604144566,3.03235,155,159.53,140.3874844714
250.501,182.1,152,142.626001592026,145.037462786526,0.544,159.5,1.5,153.668,143.831732189276,3.05869,1,160,142.96832623359
252.001,171.7,152.4,147.23263408397,148.477812027707,0.544,160,1.5,1.355,147.855223055838,2.9822,1,160.47,146.786787702996
253.501,168.4,153.3,164.513449489534,160.238382656801,0.544,160.5,1.5,1.352,162.375916073168,2.95858,1,160.94,160.371435574633
255.001,167.3,153.6,165.749680667187,160.796139032553,0.544,160.9,1.5,1.356,163.27290984987,2.94985,155,161.41,161.15932808572
256.501,179.1,154,162.126296856982,158.523973309228,0.544,161.4,1.5,150.381,160.325135083105,3.03681,155,161.88,158.436175557638
258.001,183.9,154,146.066379150651,147.948701846313,0.544,161.9,1.5,153.289,147.007540498482,3.07191,1,162.34,146.041946762777
259.501,173.5,154.4,149.290075081056,150.459735924428,0.544,162.3,1.5,1.349,149.874905502742,2.99553,1,162.81,148.781481792012
261.001,170.2,155,166.315141554984,161.979421903066,0.544,162.8,1.5,1.346,164.147281729025,2.97177,1,163.28,162.122519036557
262.5,169,155.6,167.34516167402,162.366800663464,0.544,163.3,1.5,1.35,164.855981168742,2.96296,155,163.75,162.72879420191
264.001,181.1,156,164.379121343617,160.613333227343,0.544,163.8,1.5,150.347,162.49622728548,3.05172,155,164.22,160.568684013093
265.501,185.6,156.2,147.438641910643,149.364158462046,0.544,164.2,1.5,153.359,148.401400186345,3.08467,155,164.69,147.43304831352
267.001,189,156.9,149.276890983646,151.533122948758,0.544,164.7,1.5,153.834,150.405006966202,3.10918,1,165.16,149.473761491778
268.501,178.4,157,153.707188326968,154.797955900145,0.544,165.2,1.5,1.333,154.252572113557,3.03167,1,165.63,153.11835662985
270.001,174.5,157.8,169.982027907907,165.696185137503,0.544,165.6,1.5,1.332,167.839106522705,3.003,1,166.09,165.799315751222
271.501,173.3,158.4,171.649109826738,166.525395078707,0.544,166.1,1.5,1.336,169.087252452722,2.99401,1,166.56,166.912071734764
273.001,172,158.7,170.241770724486,165.194577461953,0.544,166.6,1.5,1.34,167.71817409322,2.98507,155,167.03,165.562953537137
274.501,184.2,159,167.549549290273,163.648448383562,0.544,167,1.5,150.35,165.598998836917,3.0745,155,167.5,163.63158502916
276.001,188.8,159.3,150.777437637666,152.557275626006,0.544,167.5,1.5,153.176,151.667356631836,3.10826,155,167.97,150.655133790333
277.501,192.1,159.6,152.294788473568,154.475335083571,0.544,168,1.5,153.804,153.38506177857,3.13258,1,168.44,152.422695403273
279.001,181.5,160,156.793920621841,157.781008875464,0.544,168.4,1.5,1.323,157.287464748653,3.05471,1,168.91,156.117860396584
280.501,177.6,160.7,173.084848016992,168.693970978612,0.544,168.9,1.5,1.322,170.889409497802,3.02572,1,169.38,168.815251397392
282.001,176.3,161.2,174.545718877204,169.352774884424,0.544,169.4,1.5,1.326,171.949246880814,3.01659,1,169.84,169.746399726322
283.501,175.1,161.6,173.450801892188,168.266059098225,0.544,169.8,1.5,1.33,170.858430495207,3.00752,155,170.31,168.663318613155
285.001,187.3,161.9,170.665290419074,166.659905420692,0.544,170.3,1.5,150.369,168.662597919883,3.09701,155,170.78,166.660615831906
286.5,192.1,161.9,154.272818775741,155.88171940515,0.544,170.8,1.5,153.26,155.077269090446,3.13224,155,171.25,154.016727379136
288.001,195.5,162,155.806607413104,157.840266045725,0.544,171.3,1.5,153.725,156.823436729414,3.15707,1,171.72,155.816432762425
289.501,184.7,162.6,159.845775654663,160.787083015664,0.544,171.7,1.5,1.313,160.316429335164,3.0781,1,172.19,159.120607347648
291.001,180.7,163.1,176.081457067458,171.617779908926,0.544,172.2,1.5,1.312,173.849618488192,3.04878,1,172.66,171.746872522859
292.502,179.5,163.9,177.854750044906,172.52041817797,0.544,172.7,1.5,1.316,175.187584111438,3.03951,155,173.13,172.9441668024
294.001,191.8,164,175.240960416416,171.054557171818,0.544,173.1,1.5,150.446,173.147758794117,3.12996,155,173.59,171.091441759243
295.501,196.3,164.2,158.118091963753,159.692404822468,0.544,173.6,1.5,153.417,158.90524839311,3.16341,1,174.06,157.814904565468
297.001,186,164.7,161.817850882048,162.542398865766,0.544,174.1,1.5,1.309,162.180124873907,3.08756,1,174.53,160.939554788519
298.501,182,164.7,177.382585111092,172.874648608411,0.544,174.5,1.5,1.308,175.128616859751,3.0581,1,175,173.011663928857
300,180.7,165.1,178.949667029922,173.606968338847,0.544,175,1.5,1.312,176.278317684385,3.04878,155,176.2,174.027313287539
301.501,192.9,165.2,176.232821907243,172.042179045031,0.544,176.2,1.5,150.459,174.137500476137,3.13836,155,177.4,172.074740110665
303.001,197.8,165.6,160.059580106026,161.450080030459,0.544,177.4,1.5,153.317,160.754830068242,3.1741,155,178.6,159.624771106742
304.501,201,165.9,161.067686046853,162.988438206678,0.544,178.6,1.5,153.84,162.028062126766,3.19781,155,179.8,160.970922302303
306.001,203.9,166.4,163.579745870142,165.516026304763,0.544,179.8,1.5,153.928,164.547886087452,3.21909,155,181,163.477510850529
